DATE,Consumer_Price_Index,Real_Disposable_Income
4/1/1973,43.7,4466.7
5/1/1973,43.9,4475
6/1/1973,44.2,4488.3
7/1/1973,44.2,4499
8/1/1973,45,4484.4
9/1/1973,45.2,4507.3
10/1/1973,45.6,4546.9
11/1/1973,45.9,4554.1
12/1/1973,46.3,4537.2
1/1/1974,46.8,4504.1
2/1/1974,47.3,4470.2
3/1/1974,47.8,4438.2
4/1/1974,48.1,4435.1
5/1/1974,48.6,4430.6
6/1/1974,49,4421.7
7/1/1974,49.3,4438.7
8/1/1974,49.9,4432.6
9/1/1974,50.6,4428
10/1/1974,51,4442.6
11/1/1974,51.5,4419
12/1/1974,51.9,4419.7
1/1/1975,52.3,4417.4
2/1/1975,52.6,4420.1
3/1/1975,52.8,4424.1
4/1/1975,53,4505.1
5/1/1975,53.1,4765.1
6/1/1975,53.5,4604.9
7/1/1975,54,4533.9
8/1/1975,54.2,4564.1
9/1/1975,54.6,4575.2
10/1/1975,54.9,4594.3
11/1/1975,55.3,4590.9
12/1/1975,55.6,4595.3
1/1/1976,55.8,4625.1
2/1/1976,55.9,4653.7
3/1/1976,56,4667.6
4/1/1976,56.1,4673.7
5/1/1976,56.4,4673.8
6/1/1976,56.7,4678.3
7/1/1976,57,4705.1
8/1/1976,57.3,4714.6
9/1/1976,57.6,4715.6
10/1/1976,57.9,4707.4
11/1/1976,58.1,4749.8
12/1/1976,58.4,4767.9
1/1/1977,58.7,4758.3
2/1/1977,59.3,4716.2
3/1/1977,59.6,4782.4
4/1/1977,60,4789.7
5/1/1977,60.2,4790.6
6/1/1977,60.5,4810.5
7/1/1977,60.8,4841.6
8/1/1977,61.1,4861.2
9/1/1977,61.3,4887.8
10/1/1977,61.6,4923.4
11/1/1977,62,4962.7
12/1/1977,62.3,4983.5
1/1/1978,62.7,4962
2/1/1978,63,4991.5
3/1/1978,63.4,5033
4/1/1978,63.9,5050.5
5/1/1978,64.5,5047.2
6/1/1978,65,5047.5
7/1/1978,65.5,5072.8
8/1/1978,65.9,5094.2
9/1/1978,66.5,5095.8
10/1/1978,67.1,5109.5
11/1/1978,67.5,5114.1
12/1/1978,67.9,5139.6
1/1/1979,68.5,5164
2/1/1979,69.2,5184.7
3/1/1979,69.9,5198.5
4/1/1979,70.6,5156.1
5/1/1979,71.4,5132.2
